PassengerId,Sex,Pclass,Age,Survived
1,male,3,22.0,0
2,female,1,38.0,1
3,female,3,26.0,1
4,female,1,35.0,1
5,male,3,35.0,0
6,male,3,28.0,0
7,male,1,54.0,0
8,male,3,2.0,0
9,female,3,27.0,1
10,female,2,14.0,1
11,female,3,4.0,1
12,female,1,58.0,1
13,male,3,20.0,0
14,male,3,39.0,0
15,female,3,14.0,0
16,female,2,55.0,1
17,male,3,2.0,0
18,male,2,28.0,1
19,female,3,31.0,0
20,female,3,28.0,1
21,male,2,35.0,0
22,male,2,34.0,1
23,female,3,15.0,1
24,male,1,28.0,1
25,female,3,8.0,0
26,female,3,38.0,1
27,male,3,28.0,0
28,male,1,19.0,0
29,female,3,28.0,1
30,male,3,28.0,0
31,male,1,40.0,0
32,female,1,28.0,1
33,female,3,28.0,1
34,male,2,66.0,0
35,male,1,28.0,0
36,male,1,42.0,0
37,male,3,28.0,1
38,male,3,21.0,0
39,female,3,18.0,0
40,female,3,14.0,1
41,female,3,40.0,0
42,female,2,27.0,0
43,male,3,28.0,0
44,female,2,3.0,1
45,female,3,19.0,1
46,male,3,28.0,0
47,male,3,28.0,0
48,female,3,28.0,1
49,male,3,28.0,0
50,female,3,18.0,0
51,male,3,7.0,0
52,male,3,21.0,0
53,female,1,49.0,1
54,female,2,29.0,1
55,male,1,65.0,0
56,male,1,28.0,1
57,female,2,21.0,1
58,male,3,28.5,0
59,female,2,5.0,1
60,male,3,11.0,0
61,male,3,22.0,0
62,female,1,38.0,1
63,male,1,45.0,0
64,male,3,4.0,0
65,male,1,28.0,0
66,male,3,28.0,1
67,female,2,29.0,1
68,male,3,19.0,0
69,female,3,17.0,1
70,male,3,26.0,0
71,male,2,32.0,0
72,female,3,16.0,0
73,male,2,21.0,0
74,male,3,26.0,0
75,male,3,32.0,1
76,male,3,25.0,0
77,male,3,28.0,0
78,male,3,28.0,0
79,male,2,0.83,1
80,female,3,30.0,1
81,male,3,22.0,0
82,male,3,29.0,1
83,female,3,28.0,1
84,male,1,28.0,0
85,female,2,17.0,1
86,female,3,33.0,1
87,male,3,16.0,0
88,male,3,28.0,0
89,female,1,23.0,1
90,male,3,24.0,0
91,male,3,29.0,0
92,male,3,20.0,0
93,male,1,46.0,0
94,male,3,26.0,0
95,male,3,59.0,0
96,male,3,28.0,0
97,male,1,71.0,0
98,male,1,23.0,1
99,female,2,34.0,1
